fips_code,State,All Bed Occupancy Rate,ICU Bed Occupancy Rate,Staffed All Beds [Per 1000 People],Staffed All Beds [Per 1000 Adults (20+)],Staffed All Beds [Per 1000 Elderly (65+)],Staffed ICU Beds [Per 1000 People],Staffed ICU Beds [Per 1000 Adults (20+)],Staffed ICU Beds [Per 1000 Elderly (65+)]
6005,CA,0.49,0.64,1.32,1.584,4.89,0.152,0.183,0.564
6007,CA,0.79,0.56,2.037,2.66,10.956,0.186,0.243,1
6009,CA,0.34,,0.548,0.674,1.992,0,0,0
6011,CA,0.21,0.34,1.942,2.775,13.279,0.277,0.396,1.897
6013,CA,0.56,0.6,1.422,1.893,9.017,0.142,0.189,0.898
6015,CA,0.55,0.51,1.401,1.819,7.772,0.216,0.28,1.196
6017,CA,0.46,0.36,0.991,1.269,4.679,0.147,0.188,0.693
6019,CA,0.44,0.76,3,4.353,24.428,0.155,0.225,1.261
6021,CA,1,,0.535,0.755,3.369,0,0,0
6023,CA,0.62,0.62,1.709,2.206,9.557,0.176,0.227,0.984
6025,CA,0.46,0.35,1.474,2.148,11.366,0.154,0.224,1.187
6027,CA,0.35,0.12,1.612,2.079,6.888,0.222,0.287,0.95
6029,CA,0.55,0.53,1.761,2.577,16.055,0.161,0.235,1.464
6031,CA,0.56,0.34,1.519,2.161,14.823,0.145,0.207,1.418
6033,CA,0.69,0.66,0.777,1.007,3.416,0.124,0.161,0.547
6035,CA,0.4,,0.812,1.006,5.357,0,0,0
6037,CA,0.62,0.62,2.283,3.013,16.767,0.228,0.301,1.675
6039,CA,0.51,0.52,2.943,4.21,21.042,0.33,0.472,2.358
6041,CA,0.5,0.83,1.852,2.375,8.301,0.254,0.326,1.139
6043,CA,0.71,,1.03,1.251,3.687,0,0,0
6045,CA,0.66,0.56,1.141,1.492,5.164,0.16,0.209,0.723
6047,CA,0.65,0.53,0.881,1.315,7.846,0.087,0.13,0.778
6049,CA,0.21,,2.279,2.884,8.482,0,0,0
6051,CA,0.29,0.15,1.193,1.501,7.545,0.14,0.177,0.888
6053,CA,0.59,0.5,1.586,2.236,11.672,0.108,0.152,0.794
6055,CA,0.53,0.32,2.281,2.965,11.926,0.344,0.448,1.8
6057,CA,0.54,0.53,1.294,1.595,4.711,0.1,0.124,0.365
6059,CA,0.55,0.54,1.894,2.508,12.826,0.213,0.282,1.443
